pattern,gene,rank,cogaps_weight,contrast_scope,cell_type,mean_log2fc_stim_vs_ctrl,median_log2fc_stim_vs_ctrl,n_pairs,n_up_pairs,n_down_pairs,n_zero_pairs,sign_consistency,wilcoxon_pvalue,direction,evidence_strength,wilcoxon_fdr
Pattern1,TIMP1,1,6.072943210601807,by_cell_type,B cells,0.12940939917006888,-0.3900250147269144,8,2,6,0,0.75,0.3125,up_in_stim,suggestive,0.35635964912280704
Pattern1,TIMP1,1,6.072943210601807,by_cell_type,CD14+ Monocytes,-1.1678901249964073,-1.1676583575228587,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020547326589595377
Pattern1,TIMP1,1,6.072943210601807,by_cell_type,CD4 T cells,-0.6144047730462505,-0.6751378189236963,8,1,7,0,0.875,0.015625,down_in_stim,strong,0.038018048128342245
Pattern1,TIMP1,1,6.072943210601807,by_cell_type,CD8 T cells,-0.9003465192781898,-0.9133097595800592,5,2,3,0,0.6,0.3125,down_in_stim,weak_or_mixed,0.35635964912280704
Pattern1,TIMP1,1,6.072943210601807,by_cell_type,Dendritic cells,-0.8975657505832689,-0.8750793059381019,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.0490301724137931
Pattern1,TIMP1,1,6.072943210601807,by_cell_type,FCGR3A+ Monocytes,-1.1394338110587174,-1.0722823645198751,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.0490301724137931
Pattern1,TIMP1,1,6.072943210601807,by_cell_type,Megakaryocytes,-0.7933089168003127,-0.7933089168003127,1,0,1,0,1.0,,down_in_stim,strong,
Pattern1,TIMP1,1,6.072943210601807,by_cell_type,NK cells,-1.5146880922009704,-1.4046196885061013,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020547326589595377
Pattern1,FTH1,2,4.7594218254089355,by_cell_type,B cells,-1.3098243441406336,-1.2582921425349785,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020547326589595377
Pattern1,FTH1,2,4.7594218254089355,by_cell_type,CD14+ Monocytes,-1.133141654337639,-1.0824018232817014,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020547326589595377
Pattern1,FTH1,2,4.7594218254089355,by_cell_type,CD4 T cells,-0.845984476155722,-0.8403689297802117,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020547326589595377
Pattern1,FTH1,2,4.7594218254089355,by_cell_type,CD8 T cells,-1.0021307651834175,-0.9182330838954496,5,0,5,0,1.0,0.0625,down_in_stim,strong,0.0803319209039548
Pattern1,FTH1,2,4.7594218254089355,by_cell_type,Dendritic cells,-1.080423242998389,-0.9944972104603984,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.0490301724137931
Pattern1,FTH1,2,4.7594218254089355,by_cell_type,FCGR3A+ Monocytes,-1.0869520560166464,-1.1057151303919106,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.0490301724137931
Pattern1,FTH1,2,4.7594218254089355,by_cell_type,Megakaryocytes,0.468200785918107,0.468200785918107,1,1,0,0,1.0,,up_in_stim,moderate,
Pattern1,FTH1,2,4.7594218254089355,by_cell_type,NK cells,-0.6397938651378916,-0.6964991210954503,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020547326589595377
Pattern1,SOD2,3,4.554511070251465,by_cell_type,B cells,1.5033548318502807,1.335452419009373,8,7,1,0,0.875,0.0234375,up_in_stim,strong,0.0490301724137931
Pattern1,SOD2,3,4.554511070251465,by_cell_type,CD14+ Monocytes,0.6596658340321198,0.6892613655102622,8,7,1,0,0.875,0.015625,up_in_stim,strong,0.038018048128342245
Pattern1,SOD2,3,4.554511070251465,by_cell_type,CD4 T cells,0.7133580407823694,0.6108979298307409,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.020547326589595377
Pattern1,SOD2,3,4.554511070251465,by_cell_type,CD8 T cells,0.6018924560265821,-0.13121030185003058,5,2,3,0,0.6,0.8125,up_in_stim,weak_or_mixed,0.8479071100917431
Pattern1,SOD2,3,4.554511070251465,by_cell_type,Dendritic cells,0.32720450322755507,0.38904548659147586,6,4,2,0,0.6666666666666666,0.3125,up_in_stim,moderate,0.35635964912280704
Pattern1,SOD2,3,4.554511070251465,by_cell_type,FCGR3A+ Monocytes,-0.117929395185229,-0.1056506217178379,6,2,4,0,0.6666666666666666,0.4375,down_in_stim,suggestive,0.4878982843137255
Pattern1,SOD2,3,4.554511070251465,by_cell_type,Megakaryocytes,0.03254298747607809,0.03254298747607809,1,1,0,0,1.0,,up_in_stim,weak_or_mixed,
Pattern1,SOD2,3,4.554511070251465,by_cell_type,NK cells,0.043313574770103,0.1499089256655921,8,5,3,0,0.625,0.84375,up_in_stim,weak_or_mixed,0.8725142045454546
Pattern1,MS4A7,4,4.27431583404541,by_cell_type,B cells,-0.45106381412710994,-0.7572211948678698,8,3,5,0,0.625,0.546875,down_in_stim,moderate,0.6010341183574879
Pattern1,MS4A7,4,4.27431583404541,by_cell_type,CD14+ Monocytes,0.7242446150733761,0.7733470855768232,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.020547326589595377
Pattern1,MS4A7,4,4.27431583404541,by_cell_type,CD4 T cells,1.2783825507222968,0.2239982070756139,8,6,2,0,0.75,0.3125,up_in_stim,strong,0.35635964912280704
Pattern1,MS4A7,4,4.27431583404541,by_cell_type,CD8 T cells,3.4303997716798627,0.6492263742416071,5,3,0,2,0.6,0.25,up_in_stim,weak_or_mixed,0.2931701030927835
Pattern1,MS4A7,4,4.27431583404541,by_cell_type,Dendritic cells,-0.2532824642085358,-0.27468397134800604,6,1,5,0,0.8333333333333334,0.21875,down_in_stim,moderate,0.2585227272727273
Pattern1,MS4A7,4,4.27431583404541,by_cell_type,FCGR3A+ Monocytes,0.6335563373456822,0.5757275462359503,6,6,0,0,1.0,0.03125,up_in_stim,strong,0.0490301724137931
Pattern1,MS4A7,4,4.27431583404541,by_cell_type,Megakaryocytes,3.8993926242885006,3.8993926242885006,1,1,0,0,1.0,,up_in_stim,strong,
Pattern1,MS4A7,4,4.27431583404541,by_cell_type,NK cells,0.8899596940282807,0.0,8,2,1,5,0.625,0.75,up_in_stim,moderate,0.7899305555555556
Pattern1,S100A11,5,4.271317958831787,by_cell_type,B cells,0.13926747333730027,0.22762729728203546,8,5,3,0,0.625,0.640625,up_in_stim,suggestive,0.6826331967213115
Pattern1,S100A11,5,4.271317958831787,by_cell_type,CD14+ Monocytes,-0.22550135013843398,-0.25187751436382566,8,0,8,0,1.0,0.0078125,down_in_stim,suggestive,0.020547326589595377
Pattern1,S100A11,5,4.271317958831787,by_cell_type,CD4 T cells,-0.34424068493927606,-0.40792421193414974,8,0,8,0,1.0,0.0078125,down_in_stim,moderate,0.020547326589595377
Pattern1,S100A11,5,4.271317958831787,by_cell_type,CD8 T cells,0.09524622596088825,0.07872195648232072,5,3,2,0,0.6,0.8125,up_in_stim,weak_or_mixed,0.8479071100917431
Pattern1,S100A11,5,4.271317958831787,by_cell_type,Dendritic cells,0.22846325865691655,0.27483203558030667,6,5,1,0,0.8333333333333334,0.0625,up_in_stim,suggestive,0.0803319209039548
Pattern1,S100A11,5,4.271317958831787,by_cell_type,FCGR3A+ Monocytes,0.10156802315389306,0.16662731889927862,6,4,2,0,0.6666666666666666,0.4375,up_in_stim,suggestive,0.4878982843137255
Pattern1,S100A11,5,4.271317958831787,by_cell_type,Megakaryocytes,0.0,0.0,1,0,0,1,1.0,,mixed_or_unclear,weak_or_mixed,
Pattern1,S100A11,5,4.271317958831787,by_cell_type,NK cells,-0.02664115918547183,0.021329409831918333,8,5,3,0,0.625,0.9453125,down_in_stim,weak_or_mixed,0.9709191591422122
Pattern1,TYROBP,6,4.188070774078369,by_cell_type,B cells,1.035822503789366,-0.15528808290884388,8,3,4,1,0.5,0.578125,up_in_stim,weak_or_mixed,0.6292987440191388
