"gene","pattern","rank","cogaps_weight","contrast_scope","cell_type","mean_log2fc_stim_vs_ctrl","median_log2fc_stim_vs_ctrl","n_pairs","n_up_pairs","n_down_pairs","n_zero_pairs","sign_consistency","wilcoxon_pvalue","direction","evidence_strength","wilcoxon_fdr"
"TIMP1","Pattern1",1,6.07294321060181,"by_cell_type","B cells",0.129409399170069,-0.390025014726914,8,2,6,0,0.75,0.293621543928906,"up_in_stim","suggestive",0.331218841645775
"TIMP1","Pattern1",1,6.07294321060181,"by_cell_type","CD14+ Monocytes",-1.16789012499641,-1.16765835752286,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0355341828269169
"TIMP1","Pattern1",1,6.07294321060181,"by_cell_type","CD4 T cells",-0.614404773046251,-0.675137818923696,8,1,7,0,0.875,0.0208625823327655,"down_in_stim","strong",0.048401191012016
"TIMP1","Pattern1",1,6.07294321060181,"by_cell_type","CD8 T cells",-0.90034651927819,-0.913309759580059,5,2,3,0,0.6,0.280712665268496,"down_in_stim","weak_or_mixed",0.319241854619074
"TIMP1","Pattern1",1,6.07294321060181,"by_cell_type","Dendritic cells",-0.897565750583269,-0.875079305938102,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0545853156888165
"TIMP1","Pattern1",1,6.07294321060181,"by_cell_type","FCGR3A+ Monocytes",-1.13943381105872,-1.07228236451988,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0545853156888165
"TIMP1","Pattern1",1,6.07294321060181,"by_cell_type","Megakaryocytes",-0.793308916800313,-0.793308916800313,1,0,1,0,1,NA,"down_in_stim","strong",NA
"TIMP1","Pattern1",1,6.07294321060181,"by_cell_type","NK cells",-1.51468809220097,-1.4046196885061,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0355341828269169
"FTH1","Pattern1",2,4.75942182540894,"by_cell_type","B cells",-1.30982434414063,-1.25829214253498,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0355341828269169
"FTH1","Pattern1",2,4.75942182540894,"by_cell_type","CD14+ Monocytes",-1.13314165433764,-1.0824018232817,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0355341828269169
"FTH1","Pattern1",2,4.75942182540894,"by_cell_type","CD4 T cells",-0.845984476155722,-0.840368929780212,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0355341828269169
"FTH1","Pattern1",2,4.75942182540894,"by_cell_type","CD8 T cells",-1.00213076518342,-0.91823308389545,5,0,5,0,1,0.0590582290905367,"down_in_stim","strong",0.0736928206665611
"FTH1","Pattern1",2,4.75942182540894,"by_cell_type","Dendritic cells",-1.08042324299839,-0.994497210460398,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0545853156888165
"FTH1","Pattern1",2,4.75942182540894,"by_cell_type","FCGR3A+ Monocytes",-1.08695205601665,-1.10571513039191,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0545853156888165
"FTH1","Pattern1",2,4.75942182540894,"by_cell_type","Megakaryocytes",0.468200785918107,0.468200785918107,1,1,0,0,1,NA,"up_in_stim","moderate",NA
"FTH1","Pattern1",2,4.75942182540894,"by_cell_type","NK cells",-0.639793865137892,-0.69649912109545,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0355341828269169
"SOD2","Pattern1",3,4.55451107025146,"by_cell_type","B cells",1.50335483185028,1.33545241900937,8,7,1,0,0.875,0.0299739735865559,"up_in_stim","strong",0.0545853156888165
"SOD2","Pattern1",3,4.55451107025146,"by_cell_type","CD14+ Monocytes",0.65966583403212,0.689261365510262,8,7,1,0,0.875,0.0208625823327655,"up_in_stim","strong",0.048401191012016
"SOD2","Pattern1",3,4.55451107025146,"by_cell_type","CD4 T cells",0.713358040782369,0.610897929830741,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0355341828269169
"SOD2","Pattern1",3,4.55451107025146,"by_cell_type","CD8 T cells",0.601892456026582,-0.131210301850031,5,2,3,0,0.6,0.787406490666269,"up_in_stim","weak_or_mixed",0.817456169924791
"SOD2","Pattern1",3,4.55451107025146,"by_cell_type","Dendritic cells",0.327204503227555,0.389045486591476,6,4,2,0,0.666666666666667,0.29450739368011,"up_in_stim","moderate",0.331218841645775
"SOD2","Pattern1",3,4.55451107025146,"by_cell_type","FCGR3A+ Monocytes",-0.117929395185229,-0.105650621717838,6,2,4,0,0.666666666666667,0.401678166469773,"down_in_stim","suggestive",0.445577419635868
"SOD2","Pattern1",3,4.55451107025146,"by_cell_type","Megakaryocytes",0.0325429874760781,0.0325429874760781,1,1,0,0,1,NA,"up_in_stim","weak_or_mixed",NA
"SOD2","Pattern1",3,4.55451107025146,"by_cell_type","NK cells",0.043313574770103,0.149908925665592,8,5,3,0,0.625,0.833634883024682,"up_in_stim","weak_or_mixed",0.856850031665876
"MS4A7","Pattern1",4,4.27431583404541,"by_cell_type","B cells",-0.45106381412711,-0.75722119486787,8,3,5,0,0.625,0.528612125255688,"down_in_stim","moderate",0.573129202962741
"MS4A7","Pattern1",4,4.27431583404541,"by_cell_type","CD14+ Monocytes",0.724244615073376,0.773347085576823,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0355341828269169
"MS4A7","Pattern1",4,4.27431583404541,"by_cell_type","CD4 T cells",1.2783825507223,0.223998207075614,8,6,2,0,0.75,0.293621543928906,"up_in_stim","strong",0.331218841645775
"MS4A7","Pattern1",4,4.27431583404541,"by_cell_type","CD8 T cells",3.43039977167986,0.649226374241607,5,3,0,2,0.6,0.18144920772142,"up_in_stim","weak_or_mixed",0.212779518019327
"MS4A7","Pattern1",4,4.27431583404541,"by_cell_type","Dendritic cells",-0.253282464208536,-0.274683971348006,6,1,5,0,0.833333333333333,0.208412803684149,"down_in_stim","moderate",0.240385222431149
"MS4A7","Pattern1",4,4.27431583404541,"by_cell_type","FCGR3A+ Monocytes",0.633556337345682,0.57572754623595,6,6,0,0,1,0.0360316862182336,"up_in_stim","strong",0.0545853156888165
"MS4A7","Pattern1",4,4.27431583404541,"by_cell_type","Megakaryocytes",3.8993926242885,3.8993926242885,1,1,0,0,1,NA,"up_in_stim","strong",NA
"MS4A7","Pattern1",4,4.27431583404541,"by_cell_type","NK cells",0.889959694028281,0,8,2,1,5,0.625,0.789268026134281,"up_in_stim","moderate",0.817456169924791
"S100A11","Pattern1",5,4.27131795883179,"by_cell_type","B cells",0.1392674733373,0.227627297282035,8,5,3,0,0.625,0.62406453246517,"up_in_stim","suggestive",0.659818229637654
"S100A11","Pattern1",5,4.27131795883179,"by_cell_type","CD14+ Monocytes",-0.225501350138434,-0.251877514363826,8,0,8,0,1,0.0142661867014469,"down_in_stim","suggestive",0.0355341828269169
"S100A11","Pattern1",5,4.27131795883179,"by_cell_type","CD4 T cells",-0.344240684939276,-0.40792421193415,8,0,8,0,1,0.0142661867014469,"down_in_stim","moderate",0.0355341828269169
"S100A11","Pattern1",5,4.27131795883179,"by_cell_type","CD8 T cells",0.0952462259608882,0.0787219564823207,5,3,2,0,0.6,0.787406490666269,"up_in_stim","weak_or_mixed",0.817456169924791
"S100A11","Pattern1",5,4.27131795883179,"by_cell_type","Dendritic cells",0.228463258656917,0.274832035580307,6,5,1,0,0.833333333333333,0.0591720678258594,"up_in_stim","suggestive",0.0736928206665611
"S100A11","Pattern1",5,4.27131795883179,"by_cell_type","FCGR3A+ Monocytes",0.101568023153893,0.166627318899279,6,4,2,0,0.666666666666667,0.401678166469773,"up_in_stim","suggestive",0.445577419635868
"S100A11","Pattern1",5,4.27131795883179,"by_cell_type","Megakaryocytes",0,0,1,0,0,1,1,NA,"mixed_or_unclear","weak_or_mixed",NA
"S100A11","Pattern1",5,4.27131795883179,"by_cell_type","NK cells",-0.0266411591854718,0.0213294098319183,8,5,3,0,0.625,0.944182513250483,"down_in_stim","weak_or_mixed",0.965587154608807
"TYROBP","Pattern1",6,4.18807077407837,"by_cell_type","B cells",1.03582250378937,-0.155288082908844,8,3,4,1,0.5,0.554113130069446,"up_in_stim","weak_or_mixed",0.598324284064348
"TYROBP","Pattern1",6,4.18807077407837,"by_cell_type","CD14+ Monocytes",-0.0782748227877716,-0.0576521562586256,8,1,7,0,0.875,0.107327557761612,"down_in_stim","weak_or_mixed",0.130464037279085
"TYROBP","Pattern1",6,4.18807077407837,"by_cell_type","CD4 T cells",-0.0378701105107681,-0.179429357782261,8,3,5,0,0.625,0.726286148878805,"down_in_stim","weak_or_mixed",0.761943608384483
"TYROBP","Pattern1",6,4.18807077407837,"by_cell_type","CD8 T cells",-0.510165857016397,-0.46712907473211,5,1,4,0,0.8,0.280712665268496,"down_in_stim","strong",0.319241854619074
"TYROBP","Pattern1",6,4.18807077407837,"by_cell_type","Dendritic cells",0.0613816640695998,0.0271665934735861,6,3,3,0,0.5,1,"up_in_stim","weak_or_mixed",1
"TYROBP","Pattern1",6,4.18807077407837,"by_cell_type","FCGR3A+ Monocytes",0.406098487993524,0.420282867464944,6,6,0,0,1,0.0360316862182336,"up_in_stim","moderate",0.0545853156888165
"TYROBP","Pattern1",6,4.18807077407837,"by_cell_type","Megakaryocytes",3.8993926242885,3.8993926242885,1,1,0,0,1,NA,"up_in_stim","strong",NA
