"pattern","rank","gene","weight"
"Pattern1",1,"TIMP1",6.07294321060181
"Pattern1",2,"FTH1",4.75942182540894
"Pattern1",3,"SOD2",4.55451107025146
"Pattern1",4,"MS4A7",4.27431583404541
"Pattern1",5,"S100A11",4.27131795883179
"Pattern1",6,"TYROBP",4.18807077407837
"Pattern1",7,"FCGR3A",4.17565202713013
"Pattern1",8,"FCER1G",4.0419397354126
"Pattern1",9,"ACTB",3.97938871383667
"Pattern1",10,"SAT1",3.77543187141418
"Pattern1",11,"PSAP",2.99524974822998
"Pattern1",12,"CXCL16",2.97000432014465
"Pattern1",13,"FTL",2.89904189109802
"Pattern1",14,"PFN1",2.84216213226318
"Pattern1",15,"CTSS",2.69518947601318
"Pattern1",16,"TYMP",2.64893007278442
"Pattern1",17,"CARD16",2.57278990745544
"Pattern1",18,"CST3",2.56361675262451
"Pattern1",19,"LST1",2.44007134437561
"Pattern1",20,"CLIC1",2.43407034873962
"Pattern1",21,"C3AR1",2.18121695518494
"Pattern1",22,"JUNB",2.16422915458679
"Pattern1",23,"COTL1",1.99530375003815
"Pattern1",24,"EMP3",1.90343272686005
"Pattern1",25,"ATP1B3",1.8832483291626
"Pattern1",26,"AIF1",1.80276155471802
"Pattern1",27,"PILRA",1.6737265586853
"Pattern1",28,"ANXA5",1.65655326843262
"Pattern1",29,"PLAUR",1.65116584300995
"Pattern1",30,"NPC2",1.54327285289764
"Pattern1",31,"GBP1",1.53521764278412
"Pattern1",32,"FGL2",1.45887684822083
"Pattern1",33,"SPI1",1.41543424129486
"Pattern1",34,"ADA",1.41341722011566
"Pattern1",35,"IFITM3",1.39627361297607
"Pattern1",36,"S100A4",1.36565160751343
"Pattern1",37,"HLA-DRA",1.36197292804718
"Pattern1",38,"SERPINA1",1.3402978181839
"Pattern1",39,"CFD",1.33579349517822
"Pattern1",40,"CASP1",1.32241880893707
"Pattern1",41,"S100A6",1.32138228416443
"Pattern1",42,"CD74",1.31420576572418
"Pattern1",43,"MS4A4A",1.29979491233826
"Pattern1",44,"VMO1",1.26111507415771
"Pattern1",45,"IFITM2",1.2111998796463
"Pattern1",46,"KYNU",1.20714473724365
"Pattern1",47,"HLA-DPA1",1.20184183120728
"Pattern1",48,"CD86",1.19699811935425
"Pattern1",49,"HSPA8",1.19263195991516
"Pattern1",50,"VASP",1.19019412994385
"Pattern2",1,"ISG15",9.90800189971924
"Pattern2",2,"ISG20",8.47236824035645
"Pattern2",3,"IFI6",6.68820381164551
