"replicate","condition","cell_type","n_cells","library_size_total_counts","library_size_pattern_genes","TIMP1","FTH1","SOD2","MS4A7","S100A11","TYROBP","FCGR3A","FCER1G","ACTB","SAT1","PSAP","CXCL16","FTL","PFN1","CTSS","ISG15","ISG20","IFI6","IFIT3","LY6E","IFIT1","MX1","IFIT2","IRF7","TNFSF10","OAS1","PLSCR1","BST2","ANXA1","SH3BGRL3","GAPDH","S100A6","VIM","S100A10","EMP3","RGCC","CLIC1","CCL5","ALOX5AP","CD63","C15orf48","LGALS1","CCR7","HSPA8","LTB","ACTG1","SELL","HSP90AB1","HSP90AA1","CREM","CD74","HLA.DRA","HLA.DRB1","HLA.DPA1","HLA.DPB1","HLA.DQB1","HLA.DQA1","HLA.DMA","HERPUD1","CXCL10","APOBEC3A","IFITM3","RSAD2","TYMP","IDO1","TIMP1__cpm","FTH1__cpm","SOD2__cpm","MS4A7__cpm","S100A11__cpm","TYROBP__cpm","FCGR3A__cpm","FCER1G__cpm","ACTB__cpm","SAT1__cpm","PSAP__cpm","CXCL16__cpm","FTL__cpm","PFN1__cpm","CTSS__cpm","ISG15__cpm","ISG20__cpm","IFI6__cpm","IFIT3__cpm","LY6E__cpm","IFIT1__cpm","MX1__cpm","IFIT2__cpm","IRF7__cpm","TNFSF10__cpm","OAS1__cpm","PLSCR1__cpm","BST2__cpm","ANXA1__cpm","SH3BGRL3__cpm","GAPDH__cpm","S100A6__cpm","VIM__cpm","S100A10__cpm","EMP3__cpm","RGCC__cpm","CLIC1__cpm","CCL5__cpm","ALOX5AP__cpm","CD63__cpm","C15orf48__cpm","LGALS1__cpm","CCR7__cpm","HSPA8__cpm","LTB__cpm","ACTG1__cpm","SELL__cpm","HSP90AB1__cpm","HSP90AA1__cpm","CREM__cpm","CD74__cpm","HLA-DRA__cpm","HLA-DRB1__cpm","HLA-DPA1__cpm","HLA-DPB1__cpm","HLA-DQB1__cpm","HLA-DQA1__cpm","HLA-DMA__cpm","HERPUD1__cpm","CXCL10__cpm","APOBEC3A__cpm","IFITM3__cpm","RSAD2__cpm","TYMP__cpm","IDO1__cpm"
"patient_101","ctrl","B cells",106,19161,10395,12,3732,15,3,26,6,2,2,426,47,42,3,536,268,31,14,83,4,0,9,0,6,4,18,2,5,8,23,3,111,131,39,118,20,156,31,103,15,41,48,2,38,228,113,49,116,14,119,87,104,1368,647,409,194,194,158,139,42,206,0,0,1,0,24,0,626.272115234069,194770.627837796,782.840144042587,156.568028808517,1356.92291634048,313.136057617035,104.378685872345,104.378685872345,22232.6600908095,2452.8991180001,2191.95240331924,156.568028808517,27973.4878137884,13986.7439068942,1617.86963102135,730.650801106414,4331.71546370231,208.75737174469,0,469.704086425552,0,313.136057617035,208.75737174469,939.408172851104,104.378685872345,260.946714680862,417.514743489379,1200.35488753197,156.568028808517,5793.01706591514,6836.80392463859,2035.38437451072,6158.34246646835,1043.78685872345,8141.5374980429,1617.86963102135,5375.50232242576,782.840144042587,2139.76306038307,2505.08846093628,104.378685872345,1983.19503157455,11899.1701894473,5897.39575178749,2557.27780387245,6053.963780596,730.650801106414,6210.53180940452,4540.472835447,5427.69166536193,71395.0211366839,NA,NA,NA,NA,NA,NA,NA,10751.0046448515,0,0,52.1893429361724,0,1252.54423046814,0
"patient_101","ctrl","CD14+ Monocytes",207,260767,179262,7131,70472,999,132,2997,2004,200,2480,5931,1079,1260,134,50360,3490,310,83,45,48,5,18,3,8,4,79,4,12,141,141,1145,2569,2580,2073,2382,2238,1572,182,965,26,76,2413,2255,1777,26,381,21,958,7,229,449,46,995,1681,736,283,357,197,100,94,136,2,55,42,2,635,7,27346.251634601,270248.91953353,3831.00622394705,506.199020581592,11493.0186718411,7685.02149428417,766.968213002412,9510.40584122991,22744.4423565865,4137.79350914801,4831.8997419152,513.868702711616,193122.596034007,13383.5953168921,1188.80073015374,318.291808396001,172.567847925543,184.072371120579,19.1742053250603,69.0271391702171,11.5045231950362,30.6787285200965,15.3393642600482,302.952444135953,15.3393642600482,46.0180927801447,540.7125901667,540.7125901667,4390.89301943881,9851.70669601598,9893.88994773112,7949.62552777,9134.59141685873,8582.37430349699,6028.37015419896,697.941073832195,3700.62162773664,99.7058676903136,291.447920940917,9253.4714898741,8647.5666016022,6814.51257252643,99.7058676903136,1461.0744457696,80.5316623652533,3673.77774028155,26.8438874550844,878.178603887762,1721.84363819042,176.402688990555,3815.666859687,NA,NA,NA,NA,NA,NA,NA,521.53838484164,7.66968213002412,210.916258575663,161.063324730507,7.66968213002412,2435.12407628266,26.8438874550844
"patient_101","ctrl","CD4 T cells",353,54008,28301,115,17722,33,3,273,14,5,6,909,175,76,3,851,458,34,45,161,14,5,14,4,14,7,28,21,4,9,44,810,516,659,199,533,151,293,382,98,163,205,53,19,58,412,372,392,256,101,283,236,519,176,57,42,24,31,40,27,5,120,1,1,1,1,18,0,2129.31417567768,328136.57235965,611.02058954229,55.5473263220264,5054.8066953044,259.220856169456,92.5788772033773,111.094652644053,16830.839875574,3240.2607021182,1407.19893349133,55.5473263220264,15756.9249000148,8480.22515182936,629.536364982965,833.209894830395,2981.03984594875,259.220856169456,92.5788772033773,259.220856169456,74.0631017627018,259.220856169456,129.610428084728,518.441712338913,388.831284254185,74.0631017627018,166.641978966079,814.69411938972,14997.7781069471,9554.14012738853,12201.8960154051,3684.63931269442,9868.90830988002,2795.88209154199,5425.12220411791,7073.02621833802,1814.54599318619,3018.0713968301,3795.73396533847,981.336098355799,351.799733372834,1073.91497555918,7628.49948155829,6887.86846393127,7258.18397274478,4740.03851281292,1870.09331950822,5239.96444971115,4369.72300399941,9609.68745371056,3258.77647755888,NA,NA,NA,NA,NA,NA,NA,2221.89305288105,18.5157754406755,18.5157754406755,18.5157754406755,18.5157754406755,333.283957932158,0
"patient_101","ctrl","CD8 T cells",29,4036,1931,14,983,2,0,21,11,0,3,73,9,6,0,66,43,4,4,7,2,0,2,0,0,0,3,2,0,0,3,60,49,84,26,60,15,14,15,19,144,27,20,0,6,1,14,2,15,0,16,10,32,13,5,2,4,11,0,0,1,8,0,0,0,0,0,0,3468.78097125867,243557.978196234,495.540138751239,0,5203.17145688801,2725.47076313181,0,743.310208126858,18087.2150644202,2229.93062438057,1486.62041625372,0,16352.8245787909,10654.1129831516,991.080277502478,991.080277502478,1734.39048562934,495.540138751239,0,495.540138751239,0,0,0,743.310208126858,495.540138751239,0,0,743.310208126858,14866.2041625372,12140.7333994054,20812.685827552,6442.02180376611,14866.2041625372,3716.55104063429,3468.78097125867,3716.55104063429,4707.63131813677,35678.8899900892,6689.79187314172,4955.40138751239,0,1486.62041625372,247.770069375619,3468.78097125867,495.540138751239,3716.55104063429,0,3964.32111000991,2477.70069375619,7928.64222001982,3221.01090188305,NA,NA,NA,NA,NA,NA,NA,1982.16055500496,0,0,0,0,0,0
"patient_101","ctrl","Dendritic cells",25,34926,22790,1075,6035,70,27,253,188,5,120,1109,196,106,63,1746,581,27,14,45,2,0,1,0,0,0,11,0,2,23,17,207,288,391,203,329,311,208,9,83,0,36,188,414,294,207,72,25,167,7,50,50,26,1691,2220,896,875,837,260,368,117,47,0,1,1,0,61,135,30779.3620798259,172793.907117906,2004.23753077936,773.063047586325,7243.88707553112,5382.80936837886,143.159823627097,3435.83576705034,31752.8488804902,5611.86508618221,3034.98826089446,1803.81377770143,49991.4104105824,16635.1715054687,773.063047586325,400.847506155872,1288.43841264388,57.2639294508389,0,28.6319647254195,0,0,0,314.951611979614,0,57.2639294508389,658.535188684648,486.743400332131,5926.81669816183,8246.0058409208,11195.098207639,5812.28883926015,9419.916394663,8904.54102960545,5955.44866288725,257.687682528775,2376.45307220982,0,1030.7507301151,5382.80936837886,11853.6333963237,8417.79762927332,5926.81669816183,2061.5014602302,715.799118135486,4781.53810914505,200.423753077936,1431.59823627097,1431.59823627097,744.431082860906,48416.6523506843,NA,NA,NA,NA,NA,NA,NA,1345.70234209471,0,28.6319647254195,28.6319647254195,0,1746.54984825059,3865.31523793163
"patient_101","ctrl","FCGR3A+ Monocytes",72,84389,62404,5437,34908,878,364,1030,710,642,986,2076,650,445,279,5139,912,231,45,38,27,37,30,1,8,17,33,67,48,69,79,385,390,417,397,233,363,376,81,266,8,2,204,712,265,3,162,7,273,0,60,115,19,400,707,300,222,139,74,71,38,32,122,65,84,4,222,0,64427.8282714572,413655.808221451,10404.1995994739,4313.35837609167,12205.3822180616,8413.41881050848,7607.62658640344,11683.987249523,24600.3626065008,7702.42567159227,5273.19911362855,3306.11809596037,60896.5623481733,10807.0957115264,2737.32358482741,533.244854187157,450.295654646933,319.946912512294,438.445768998329,355.496569458105,11.8498856486035,94.7990851888279,201.448056026259,391.046226403915,793.942338456434,568.794511132968,817.642109753641,936.140966239676,4562.20597471234,4621.45540295536,4941.40231546766,4704.40460249559,2761.02335612461,4301.50849044307,4455.55700387491,959.840737536883,3152.06958252853,94.7990851888279,23.699771297207,2417.37667231511,8437.11858180569,3140.21969687992,35.5496569458105,1919.68147507377,82.9491995402244,3235.01878206875,0,710.993138916209,1362.7368495894,225.147827323466,4739.9542594414,NA,NA,NA,NA,NA,NA,NA,379.196340755312,1445.68604912963,770.242567159227,995.390394482693,47.399542594414,2630.67461398998,0
"patient_101","ctrl","NK cells",65,9254,3324,21,1281,4,0,33,46,23,55,105,9,13,1,178,138,13,11,25,2,12,14,0,6,4,7,12,1,6,15,111,100,118,39,102,15,51,30,61,276,58,57,8,11,7,33,3,48,3,20,40,31,29,5,2,9,3,1,3,3,7,0,1,3,0,1,0,2269.28895612708,138426.626323752,432.245515452777,0,3566.02550248541,4970.82342770694,2485.41171385347,5943.37583747569,11346.4447806354,972.552409768749,1404.79792522153,108.061378863194,19234.9254376486,14912.4702831208,1404.79792522153,1188.67516749514,2701.53447157986,216.122757726389,1296.73654635833,1512.85930408472,0,648.368273179166,432.245515452777,756.42965204236,1296.73654635833,108.061378863194,648.368273179166,1620.92068294791,11994.8130538146,10806.1378863194,12751.2427058569,4214.39377566458,11022.2606440458,1620.92068294791,5511.13032202291,3241.84136589583,6591.74411065485,29824.9405662416,6267.55997406527,6159.49859520207,864.491030905554,1188.67516749514,756.42965204236,3566.02550248541,324.184136589583,5186.94618543333,324.184136589583,2161.22757726389,4322.45515452777,3349.90274475902,3133.77998703263,NA,NA,NA,NA,NA,NA,NA,756.42965204236,0,108.061378863194,324.184136589583,0,108.061378863194,0
"patient_101","stim","B cells",141,32271,17712,15,2309,74,1,38,8,0,6,338,327,27,2,474,215,71,1422,1446,451,590,315,305,351,262,295,251,118,228,184,7,58,65,39,100,18,122,6,253,10,26,61,7,26,674,166,64,108,135,277,186,287,1413,675,394,296,218,112,124,29,168,1141,7,93,112,100,12,464.813609742493,71550.3083263611,2293.08047472963,30.9875739828329,1177.52781134765,247.900591862663,0,185.925443896997,10473.8000061975,10132.9366923864,836.664497536488,61.9751479656658,14688.1100678628,6662.32840630907,2200.11775278113,44064.3302035884,44808.0319791763,13975.3958662576,18282.6686498714,9761.08580459236,9451.21006476403,10876.6384679743,8118.74438350221,9141.3343249357,7777.88106969105,3656.53372997428,7065.1668680859,5701.71361284125,216.91301787983,1797.27929100431,2014.19230888414,1208.51538533048,3098.75739828329,557.776331690992,3780.48402590561,185.925443896997,7839.85621765672,309.875739828329,805.676923553655,1890.24201295281,216.91301787983,805.676923553655,20885.6248644294,5143.93728115026,1983.2047349013,3346.65799014595,4183.32248768244,8583.55799324471,5763.68876080692,8893.43373307304,43785.4420377429,NA,NA,NA,NA,NA,NA,NA,5205.91242911592,35356.8219144123,216.91301787983,2881.84438040346,3470.60828607728,3098.75739828329,371.850887793995
"patient_101","stim","CD14+ Monocytes",269,448974,274518,4157,58239,4269,411,4153,3355,268,3369,3728,6064,1475,111,57276,2227,915,25135,5004,2129,2784,2513,2705,1456,1720,1150,2569,1214,1316,1227,3103,2092,1666,1951,2002,2551,2315,23,1767,51,31,2785,4427,2166,49,565,13,648,89,583,1455,191,2064,2371,1286,713,648,279,159,174,173,16403,6657,4363,3242,2611,1913,9258.88804251471,129715.751914365,9508.34569485093,915.420492055219,9249.97884064556,7472.59306775003,596.916525233087,7503.77527429205,8303.37614204832,13506.3500336322,3285.26818924927,247.230351868928,127570.861564367,4960.19814064957,2037.97992756819,55983.1972452748,11145.4115383073,4741.92269485538,6200.80450092878,5597.20607429383,6024.84776401306,3242.9494803708,3830.95680373474,2561.39553738078,5721.93490046194,2703.94276728719,2931.12741495053,2732.89767336193,6911.31334999354,4659.51257756574,3710.68257850121,4345.46321167818,4459.05553550985,5681.84349205076,5156.20058177088,51.2279107476157,3935.63992569726,113.59232383167,69.0463144859168,6203.03180139607,9860.25916868237,4824.33281214502,109.137722897094,1258.42476401752,28.9549060747393,1443.29070280239,198.2297415886,1298.51617242869,3240.72217990351,425.414389251939,4597.14816448168,NA,NA,NA,NA,NA,NA,NA,385.322980840761,36534.4095649191,14827.1392107338,9717.71193877596,7220.90811494652,5815.48152008802,4260.82579392125
"patient_101","stim","CD4 T cells",467,86816,51083,110,21251,114,5,420,19,4,22,978,1591,83,7,1038,539,140,3730,2270,1498,1008,789,850,820,682,404,485,451,360,290,1406,526,639,237,463,244,293,307,180,247,403,60,17,44,726,619,491,365,423,396,404,777,255,68,29,51,31,18,11,8,140,507,25,166,414,116,19,1267.04754883892,244782.0678216,1313.12200516034,57.5930704017693,4837.81791374862,218.853667526723,46.0744563214154,253.409509767785,11265.2045705861,18326.115001843,956.04496866937,80.630298562477,11956.3214154073,6208.53298931073,1612.60597124954,42964.4305197199,26147.2539624032,17254.8838923701,11610.7629929967,9088.18650939919,9790.82196830077,9445.26354589016,7855.69480280133,4653.52008846296,5586.52782897162,5194.89495023959,4146.70106892739,3340.39808330262,16195.1713969775,6058.79100626613,7360.39439734611,2729.91153704386,5333.11831920383,2810.54183560634,3374.95392554368,3536.21452266863,2073.35053446369,2845.0976778474,4642.0014743826,691.116844821231,195.816439366015,506.81901953557,8362.5138223369,7130.02211573903,5655.63951345374,4204.29413932916,4872.37375598968,4561.37117582013,4653.52008846296,8949.96314043494,2937.24659049023,NA,NA,NA,NA,NA,NA,NA,1612.60597124954,5839.9373387394,287.965352008846,1912.08993733874,4768.7062292665,1336.15923332105,218.853667526723
